BBOX(geom, -73.999218,40.729278,-73.998218,40.730278),result count: 5448,2952
BBOX(geom, -73.958256,40.773037,-73.957256,40.774037),result count: 8170,688
BBOX(geom, -73.982502,40.77848,-73.981502,40.77948),result count: 13767,853
BBOX(geom, -73.998791,40.717109,-73.997791,40.718109),result count: 2414,372
BBOX(geom, -73.978321,40.773311,-73.977321,40.774311),result count: 5049,399
BBOX(geom, -73.950016,40.772217,-73.949016,40.773217),result count: 8002,381
BBOX(geom, -73.946636,40.773071,-73.945636,40.774071),result count: 7638,295
BBOX(geom, -73.961056,40.764274,-73.960056,40.765274),result count: 2586,221
BBOX(geom, -73.979222,40.788761,-73.978222,40.789761),result count: 1305,250
BBOX(geom, -73.976307,40.759514,-73.975307,40.760514),result count: 12531,439
BBOX(geom, -73.975819,40.754059,-73.974819,40.755059),result count: 6767,264
BBOX(geom, -73.988247,40.778942,-73.987247,40.779942),result count: 5457,244
BBOX(geom, -73.954113,40.699733,-73.953113,40.700733),result count: 9,131
BBOX(geom, -74.000897,40.723472,-73.999897,40.724472),result count: 2801,152
BBOX(geom, -73.99268,40.743576,-73.99168,40.744576),result count: 16690,354
BBOX(geom, -73.947476,40.779651,-73.946476,40.780651),result count: 5273,231
BBOX(geom, -74.008908,40.734707,-74.007908,40.735707),result count: 4582,256
BBOX(geom, -74.007839,40.739582,-74.006839,40.740582),result count: 6769,197
BBOX(geom, -73.981633,40.737339,-73.980633,40.738339),result count: 10380,323
BBOX(geom, -73.99915,40.725574,-73.99815,40.726574),result count: 4820,253
BBOX(geom, -73.865483,40.770855,-73.864483,40.771855),result count: 3502,285
BBOX(geom, -73.979084,40.762066,-73.978084,40.763066),result count: 22847,489
BBOX(geom, -73.997372,40.72475,-73.996372,40.72575),result count: 15163,301
BBOX(geom, -73.977207,40.750629,-73.976207,40.751629),result count: 11670,385
BBOX(geom, -74.011647,40.715252,-74.010647,40.716252),result count: 5479,263
BBOX(geom, -73.982266,40.765213,-73.981266,40.766213),result count: 9075,403
BBOX(geom, -73.977589,40.787285,-73.976589,40.788285),result count: 10613,282
BBOX(geom, -73.975361,40.744014,-73.974361,40.745014),result count: 2303,261
BBOX(geom, -73.976612,40.775623,-73.975612,40.776623),result count: 9706,350
BBOX(geom, -73.960064,40.762356,-73.959064,40.763356),result count: 11540,338
BBOX(geom, -73.997258,40.737121,-73.996258,40.738121),result count: 18564,246
BBOX(geom, -74.014126,40.707565,-74.013126,40.708565),result count: 2491,128
BBOX(geom, -73.989003,40.730842,-73.988003,40.731842),result count: 17624,322
BBOX(geom, -73.981991,40.732197,-73.980991,40.733197),result count: 11631,166
BBOX(geom, -73.993016,40.740761,-73.992016,40.741761),result count: 2240,126
